Director,Duration (mins),Budget (INR Crores),Genre
Mani Ratnam,140,82.3,Romance
Shoojit Sircar,174,175.03,Historical
Mani Ratnam,122,495.38,Animation
S.S. Rajamouli,145,259.49,Crime
Sandeep Reddy Vanga,179,473.89,Historical
Sandeep Reddy Vanga,178,118.92,Action
Karan Johar,160,297.73,Horror
Atlee,138,418.03,Horror
Shoojit Sircar,151,169.39,Biography
Rohit Shetty,156,194.35,Biography
Vishal Bhardwaj,158,293.81,Sci-Fi
Vishal Bhardwaj,149,248.47,Crime
Shoojit Sircar,121,323.6,Animation
Imtiaz Ali,135,108.8,Comedy
Sanjay Leela Bhansali,92,498.81,Fantasy
S.S. Rajamouli,101,115.85,Historical
Ayan Mukerji,150,250.52,Crime
Zoya Akhtar,167,143.74,Romance
Vishal Bhardwaj,121,355.73,Historical
Imtiaz Ali,126,494.3,Horror
Imtiaz Ali,125,298.46,Biography
Vishal Bhardwaj,115,126.4,Historical
Rohit Shetty,144,467.49,Crime
Imtiaz Ali,144,273.33,Fantasy
Imtiaz Ali,167,414.84,Sci-Fi
Vishal Bhardwaj,140,416.02,Sci-Fi
Karan Johar,147,37.17,Historical
S.S. Rajamouli,159,419.39,Historical
Kabir Khan,145,170.76,Fantasy
Kabir Khan,94,58.45,Comedy
Prashanth Neel,127,52.95,Historical
Ayan Mukerji,154,328.18,Romantic Comedy
Prashanth Neel,155,37.82,Thriller
Kabir Khan,104,151.11,Romance
Prashanth Neel,157,29.34,Biography
Ayan Mukerji,128,92.06,Comedy
Imtiaz Ali,175,105.45,Adventure
Karan Johar,110,343.89,Thriller
Rohit Shetty,126,461.38,Fantasy
S.S. Rajamouli,128,45.03,Crime
Anurag Basu,107,24.33,Romantic Comedy
Lokesh Kanagaraj,90,293.66,Comedy
Rohit Shetty,116,237.29,Fantasy
Rohit Shetty,103,333.78,Comedy
Anurag Kashyap,167,272.12,Musical
Anurag Basu,164,423.39,Romantic Comedy
Kabir Khan,179,337.03,Historical
Imtiaz Ali,146,195.95,Drama
Atlee,101,40.99,Adventure
S.S. Rajamouli,116,367.17,Comedy
Atlee,157,368.98,Action
S.S. Rajamouli,137,374.85,Action
Sandeep Reddy Vanga,113,153.85,Biography
Lokesh Kanagaraj,164,440.29,Comedy
Shoojit Sircar,133,383.26,Horror
Rajkumar Hirani,128,41.74,Romance
S.S. Rajamouli,144,38.35,Action
Shoojit Sircar,90,251.29,Action
Sanjay Leela Bhansali,100,365.52,Sci-Fi
Imtiaz Ali,153,485.65,Crime
Vishal Bhardwaj,100,161.25,Horror
Sanjay Leela Bhansali,153,375.95,Fantasy
Kabir Khan,107,432.64,Fantasy
S.S. Rajamouli,148,480.75,Biography
Karan Johar,164,214.57,Comedy
Rohit Shetty,178,313.9,Horror
Zoya Akhtar,98,186.03,Romance
Zoya Akhtar,176,56.65,Comedy
Vishal Bhardwaj,96,252.32,Horror
Atlee,123,178.87,Biography
Lokesh Kanagaraj,100,341.34,Comedy
Kabir Khan,126,167.95,Musical
Sandeep Reddy Vanga,143,281.21,Comedy
Mani Ratnam,166,117.85,Adventure
Anurag Kashyap,111,499.93,Biography
Anurag Basu,90,204.13,Thriller
Kabir Khan,129,386.23,Drama
Shoojit Sircar,131,276.77,Crime
Ayan Mukerji,163,198.38,Historical
S.S. Rajamouli,144,494.4,Musical
Prashanth Neel,106,52.58,Sci-Fi
Sriram Raghavan,97,293.18,Sci-Fi
Prashanth Neel,125,110.19,Thriller
S.S. Rajamouli,152,55.13,Sci-Fi
Sanjay Leela Bhansali,124,235.24,Romance
Prashanth Neel,147,454.03,Animation
Zoya Akhtar,97,376.33,Action
Sandeep Reddy Vanga,102,463.47,Action
Sandeep Reddy Vanga,167,194.57,Fantasy
Anurag Basu,94,60.17,Historical
Ayan Mukerji,163,464.17,Sci-Fi
Prashanth Neel,105,317.18,Musical
Mani Ratnam,155,274.29,Biography
Lokesh Kanagaraj,121,87.14,Horror
Sanjay Leela Bhansali,178,49.67,Action
Ayan Mukerji,111,47.21,Biography
Rajkumar Hirani,93,449.0,Comedy
Sandeep Reddy Vanga,168,133.04,Romance
Anurag Basu,94,62.47,Drama
Anurag Kashyap,124,473.09,Horror
S.S. Rajamouli,152,144.09,Crime
Mani Ratnam,113,494.91,Biography
Kabir Khan,172,284.79,Drama
Rohit Shetty,131,254.36,Crime
Ayan Mukerji,139,154.05,Crime
Karan Johar,173,390.71,Fantasy
Sriram Raghavan,134,84.0,Romantic Comedy
Sandeep Reddy Vanga,164,212.06,Adventure
Shoojit Sircar,142,226.31,Crime
Sanjay Leela Bhansali,142,224.2,Musical
Anurag Basu,136,167.28,Animation
Vishal Bhardwaj,126,100.85,Action
Ayan Mukerji,118,318.53,Drama
Rohit Shetty,161,305.65,Romance
Ayan Mukerji,117,162.49,Musical
Imtiaz Ali,171,179.2,Romantic Comedy
Mani Ratnam,118,214.9,Fantasy
Lokesh Kanagaraj,164,342.72,Drama
Shoojit Sircar,180,83.8,Romantic Comedy
S.S. Rajamouli,116,42.48,Biography
Imtiaz Ali,115,82.05,Musical
Sanjay Leela Bhansali,93,245.03,Drama
Sriram Raghavan,177,342.46,Romance
Sandeep Reddy Vanga,92,308.14,Historical
Lokesh Kanagaraj,136,349.71,Horror
S.S. Rajamouli,179,61.92,Animation
Imtiaz Ali,149,373.33,Crime
Anurag Kashyap,174,28.91,Horror
Atlee,153,333.91,Comedy
Karan Johar,158,449.11,Animation
Ayan Mukerji,150,290.59,Action
Sanjay Leela Bhansali,158,447.83,Drama
S.S. Rajamouli,105,113.19,Biography
Rajkumar Hirani,114,446.99,Romance
S.S. Rajamouli,134,291.24,Biography
Karan Johar,143,334.74,Horror
Zoya Akhtar,153,300.05,Romantic Comedy
Vishal Bhardwaj,166,291.06,Fantasy
Mani Ratnam,151,291.01,Animation
Lokesh Kanagaraj,109,231.03,Biography
