Title,Director,Budget (INR Crores),Duration (mins),Genre
The Shining,Stanley Kubrick,157.7,146,Drama
The Blue Lagoon,Randal Kleiser,37.35,104,Adventure
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,149.4,124,Action
Airplane!,Jim Abrahams,29.05,88,Comedy
Caddyshack,Harold Ramis,49.8,98,Comedy
Friday the 13th,Sean S. Cunningham,4.57,95,Horror
The Blues Brothers,John Landis,224.1,133,Action
Raging Bull,Martin Scorsese,149.4,129,Biography
Superman II,Richard Lester,448.2,127,Action
The Long Riders,Walter Hill,83.0,100,Biography
Any Which Way You Can,Buddy Van Horn,124.5,116,Action
The Gods Must Be Crazy,Jamie Uys,41.5,109,Adventure
Popeye,Robert Altman,166.0,114,Adventure
Ordinary People,Robert Redford,49.8,124,Drama
Dressed to Kill,Brian De Palma,53.95,104,Crime
Somewhere in Time,Jeannot Szwarc,42.33,103,Drama
9 to 5,Colin Higgins,83.0,109,Comedy
The Fog,John Carpenter,8.3,89,Horror
Cruising,William Friedkin,91.3,102,Crime
Heaven's Gate,Michael Cimino,365.2,219,Adventure
The Final Countdown,Don Taylor,99.6,103,Action
Xanadu,Robert Greenwald,166.0,96,Fantasy
Raise the Titanic,Jerry Jameson,298.8,115,Action
Brubaker,Stuart Rosenberg,74.7,131,Crime
American Gigolo,Paul Schrader,39.84,117,Crime
Cattle Annie and Little Britches,Lamont Johnson,42.33,97,Drama
Private Benjamin,Howard Zieff,83.0,109,Comedy
The Hollywood Knights,Floyd Mutrux,33.2,91,Comedy
Motel Hell,Kevin Connor,24.9,101,Comedy
The Stunt Man,Richard Rush,29.05,131,Action
The Island,Michael Ritchie,182.6,109,Action
The Boogey Man,Ulli Lommel,2.49,82,Horror
The Nude Bomb,Clive Donner,124.5,94,Action
Lion of the Desert,Moustapha Akkad,290.5,173,Biography
Stardust Memories,Woody Allen,83.0,89,Comedy
Melvin and Howard,Jonathan Demme,58.1,95,Comedy
Can't Stop the Music,Nancy Walker,166.0,124,Biography
Bronco Billy,Clint Eastwood,53.95,116,Action
When Time Ran Out...,James Goldstone,166.0,121,Action
Oh Heavenly Dog,Joe Camp,49.8,103,Comedy
The Octagon,Eric Karson,33.2,103,Action
Hangar 18,James L. Conway,91.3,97,Sci-Fi
Moscow Does Not Believe in Tears,Vladimir Menshov,7.47,150,Comedy
The Last Flight of Noah's Ark,Charles Jarrott,49.8,97,Adventure
Willie & Phil,Paul Mazursky,45.65,115,Comedy
Windwalker,Kieth Merrill,24.9,108,Adventure
Phobia,John Huston,42.33,94,Drama
Indiana Jones and the Raiders of the Lost Ark,Steven Spielberg,149.4,115,Action
An American Werewolf in London,John Landis,83.0,97,Comedy
Escape from New York,John Carpenter,49.8,99,Action
The Evil Dead,Sam Raimi,2.9,85,Horror
Porky's,Bob Clark,20.75,94,Comedy
Blow Out,Brian De Palma,149.4,108,Crime
